ID,NOMBRE,SEDE,PROG,NIVEL,Estatus,% BECA,CARGOS,ECA,DEPP,AJUSTADO,PAGADO,SALDO,SALDO VENCIDO,NCV,C,B,A,P,S,%,C,B,A,P,S,%,C,B,A,P,S,%,C,B,A,P,S,%
1,Nombre1,CAM,LIC-EJDE-17,LI,AS,401,11374,0,0,11374,3581.7,7792.3,2831.7,3,2084,312.6,1771.4,1668,103.4,94.16,2918,437.7,2480.3,0,2480.3,0,2918,437.7,2480.3,0,2480.3,0,2918,437.7,2480.3,0,2480.3,0
2,Nombre2,CAM,MAE-MERD-15,MA,PT,,15136,0,0,15136,7568,7568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Nombre3,CAM,LIC-EJAD-12,LI,AS,,9426,0,0,9426,4730,4696,0.5,1,2382,0,2382,2381.5,0.5,99.97,1715,0,1715,1715,0,100,1715,0,1715,0.5,1714.5,0.0291,1715,0,1715,0,1715,0
4,Nombre4,CAM,LIC-EJDE-17,LI,AS,401,8687,0,0,8687,5143.25,3543.75,0,0,2085,0,2085,2085,0,100,2085,312.75,1772.25,1772.25,0,100,2085,312.75,1772.25,0.75,1771.5,0.0423,2085,312.75,1772.25,0,1772.25,0
5,Nombre5,CAM,MAE-MADN-15,MA,AS,402,21333.51,0,0,21333.51,13419.51,7914,0,0,5276,1319,3957,3957,0,100,5276,1319,3957,3957,0,100,5276,1319,3957,0,3957,0,5276,1319,3957,0,3957,0
6,Nombre6,CAM,LIC-EJAD-17,LI,AS,403,8940.1,0,0,8940.1,5026.4,3913.7,935.9,2,2127,638.1,1488.9,1488.9,0,100,2127,638.1,1488.9,638.1,850.8,42.85,2127,638.1,1488.9,0,1488.9,0,2127,638.1,1488.9,0,1488.9,0
7,Nombre7,CAM,LIC-EJDE-17,LI,AS,402,9736,0,0,9736,5672.8,4063.2,0,0,2116,423.2,1692.8,1692.8,0,100,2540,508,2032,2032,0,100,2540,508,2032,0.8,2031.2,0.0393,2540,508,2032,0,2032,0
8,Nombre8,CAM,LIC-EJCO-17,LI,AS,,9100.82,0,0,9100.82,4868.82,6844.56,2612.56,5,2116,0,2116,1904.67,211.33,90.01,2116,0,2116,0,2116,0,2116,0,2116,0,2116,0,2116,0,2116,0,2116,0
9,Nombre9,CAM,MAE-MERD-15,MA,AS,402,15300,0,0,15300,9563,5737,0,0,3825,956.25,2868.75,2868.75,0,100,3825,956.25,2868.75,2868.75,0,100,3825,956.25,2868.75,0.5,2868.25,0.0174,3825,956.25,2868.75,0,2868.75,0
10,Nombre10,CAM,LIC-EJAD-17,LI,AS,401,8801.1,0,0,8801.1,3206.1,5595,2052.2,3,2084,312.6,1771.4,1667.7,103.7,94.14,2084,312.6,1771.4,0,1771.4,0,2084,312.6,1771.4,0,1771.4,0,2084,312.6,1771.4,0,1771.4,0
11,Nombre11,CAM,MAE-EDUC-15,MA,AS,109,12097.43,0,70.51,12026.92,12614.43,-587.51,-587.51,1,2938,2644.2,293.8,881.31,-587.51,299.9,2938,2644.2,293.8,293.8,0,100,2938,2644.2,293.8,293.8,0,100,2938,2644.2,293.8,293.8,0,100
